Dataset,Metric,Baseline Mean,Baseline Std,Proposed Mean,Proposed Std,Mean Difference,Shapiro p,Statistical Test,Statistic,p-value,Effect Size,95% CI Lower,95% CI Upper,Adjusted p-value,Significant
"Dataset 1
(LightGBM P=60%, 129 fitur)",Accuracy,0.98686,0.00191,0.99008,0.00044,0.00322,0.7607,Paired t-test,3.31519,0.02951,1.4826,0.00052,0.00592,0.27979,False
"Dataset 1
(LightGBM P=60%, 129 fitur)",F1 Macro,0.98586,0.00204,0.98938,0.00051,0.00352,0.68218,Paired t-test,3.37248,0.02798,1.50822,0.00062,0.00642,0.27979,False
"Dataset 1
(LightGBM P=60%, 129 fitur)",F1 Weighted,0.98684,0.00192,0.99008,0.00044,0.00324,0.80025,Paired t-test,3.32662,0.0292,1.48771,0.00054,0.00594,0.27979,False
"Dataset 2
(RF P=40%, 76 fitur)",Accuracy,0.96258,0.00052,0.96172,0.00053,-0.00086,0.48995,Paired t-test,-3.90104,0.01753,-1.7446,-0.00147,-0.00025,0.25019,False
"Dataset 2
(RF P=40%, 76 fitur)",F1 Macro,0.96176,0.00055,0.9609,0.00056,-0.00086,0.48995,Paired t-test,-3.90104,0.01753,-1.7446,-0.00147,-0.00025,0.25019,False
"Dataset 2
(RF P=40%, 76 fitur)",F1 Weighted,0.96258,0.00052,0.96172,0.00053,-0.00086,0.48995,Paired t-test,-3.90104,0.01753,-1.7446,-0.00147,-0.00025,0.25019,False
"Dataset 3
(LightGBM P=10%, 24 fitur)",Accuracy,0.929,0.00134,0.9185,0.00547,-0.0105,0.06235,Paired t-test,-4.728,0.00912,-2.11443,-0.01667,-0.00433,0.16412,False
"Dataset 3
(LightGBM P=10%, 24 fitur)",F1 Macro,0.72562,0.03306,0.7356,0.04055,0.00998,0.1014,Paired t-test,1.35728,0.24622,0.607,-0.01043,0.03039,0.98489,False
"Dataset 3
(LightGBM P=10%, 24 fitur)",F1 Weighted,0.92754,0.00172,0.91794,0.00564,-0.0096,0.05764,Paired t-test,-4.52599,0.01061,-2.02408,-0.01549,-0.00371,0.18037,False
"Dataset 4a — 16 class
(RF P=40%, 22 fitur)",Accuracy,0.75092,0.00366,0.74488,0.00511,-0.00604,0.60563,Paired t-test,-3.32209,0.02932,-1.48569,-0.01109,-0.00099,0.27979,False
"Dataset 4a — 16 class
(RF P=40%, 22 fitur)",F1 Macro,0.5336,0.0068,0.52536,0.00972,-0.00824,0.66606,Paired t-test,-2.47988,0.06822,-1.10904,-0.01747,0.00099,0.3943,False
"Dataset 4a — 16 class
(RF P=40%, 22 fitur)",F1 Weighted,0.74878,0.00356,0.74426,0.00494,-0.00452,0.54579,Paired t-test,-2.51484,0.06572,-1.12467,-0.00951,0.00047,0.3943,False
"Dataset 4b — 4 class
(RF P=40%, 22 fitur)",Accuracy,0.87356,0.00201,0.87726,0.00186,0.0037,0.36148,Paired t-test,4.05883,0.01536,1.81517,0.00117,0.00623,0.24582,False
"Dataset 4b — 4 class
(RF P=40%, 22 fitur)",F1 Macro,0.8101,0.00312,0.81552,0.00282,0.00542,0.36693,Paired t-test,3.9599,0.01668,1.77092,0.00162,0.00922,0.25019,False
"Dataset 4b — 4 class
(RF P=40%, 22 fitur)",F1 Weighted,0.8736,0.00203,0.87722,0.0019,0.00362,0.34084,Paired t-test,3.93711,0.017,1.76073,0.00107,0.00617,0.25019,False
"Dataset 5
(LightGBM P=60%, 282 fitur)",Accuracy,0.95086,0.00245,0.95052,0.00389,-0.00034,0.06805,Paired t-test,-0.24873,0.81582,-0.11123,-0.00414,0.00346,1.0,False
"Dataset 5
(LightGBM P=60%, 282 fitur)",F1 Macro,0.94124,0.003,0.94102,0.00413,-0.00022,0.19891,Paired t-test,-0.12482,0.90669,-0.05582,-0.00511,0.00467,1.0,False
"Dataset 5
(LightGBM P=60%, 282 fitur)",F1 Weighted,0.95084,0.00242,0.9506,0.00382,-0.00024,0.07564,Paired t-test,-0.17482,0.86971,-0.07818,-0.00405,0.00357,1.0,False
